"","transition","time","N_sim","trans_no"
"13481","non_herb_small->herb_small",209.862510476556,38,37
"13482","herb_small->non_herb_small",209.875340052074,38,56
"13483","herb_small->non_herb_small",210.04298396965,38,57
"13484","non_herb_small->herb_small",210.172998231468,38,38
"13485","non_herb_large->non_herb_small",210.189042643923,38,32
"13486","non_herb_small->herb_small",210.208868085478,38,39
"13487","non_herb_small->herb_small",210.217939853588,38,40
"13488","herb_small->non_herb_small",210.235972309244,38,58
"13489","non_herb_small->herb_small",210.294608800397,38,41
"13490","herb_large->herb_small",210.367882209454,38,7
"13491","herb_large->herb_small",210.41475025148,38,8
"13492","non_herb_small->herb_small",210.454803242668,38,42
"13493","non_herb_small->herb_small",210.494500312465,38,43
"13494","herb_large->herb_small",210.523245629369,38,9
"13495","non_herb_large->non_herb_small",210.625845525221,38,33
"13496","non_herb_small->herb_small",210.65207655689,38,44
"13497","herb_small->non_herb_small",210.65862741142,38,59
"13498","non_herb_large->non_herb_small",210.694580888958,38,34
"13499","non_herb_small->herb_small",210.833196683523,38,45
"13500","non_herb_small->herb_small",210.84391555903,38,46
"13501","non_herb_small->herb_small",210.89049625979,38,47
"13502","non_herb_small->herb_small",211.112464144411,38,48
"13503","non_herb_large->non_herb_small",211.143184535364,38,35
"13504","non_herb_small->herb_small",211.175618251145,38,49
"13505","non_herb_large->non_herb_small",211.21796130173,38,36
"13506","non_herb_small->herb_small",211.247909246097,38,50
"13507","herb_small->herb_large",211.289448643987,38,11
"13508","non_herb_small->herb_small",211.450040280868,38,51
"13509","non_herb_large->non_herb_small",211.469410969427,38,37
"13510","non_herb_small->herb_small",211.503940197825,38,52
"13511","non_herb_large->herb_large",211.510153367515,38,12
"13512","non_herb_large->non_herb_small",211.563971751539,38,38
"13513","non_herb_large->herb_large",211.736248193936,38,13
"13514","herb_small->herb_large",211.925607879615,38,12
"13515","herb_small->non_herb_small",212.034148233486,38,60
"13516","herb_small->non_herb_small",212.038825751441,38,61
"13517","non_herb_small->herb_small",212.154945997192,38,53
"13518","non_herb_large->herb_large",212.187397417511,38,14
"13519","herb_small->non_herb_small",212.200921850424,38,62
"13520","herb_small->non_herb_small",212.247615022543,38,63
"13521","herb_small->non_herb_small",212.358764934245,38,64
"13522","non_herb_small->herb_small",212.398686246869,38,54
"13523","non_herb_small->herb_small",212.558188894074,38,55
"13524","non_herb_small->non_herb_large",212.802954733006,38,16
"13525","herb_small->non_herb_small",212.816673690543,38,65
"13526","non_herb_large->non_herb_small",212.968101163739,38,39
"13527","non_herb_large->non_herb_small",212.980398263247,38,40
"13528","non_herb_large->herb_small",212.980828205175,38,1
"13529","non_herb_small->herb_small",212.982696725246,38,56
"13530","non_herb_small->herb_small",212.993693324296,38,57
"13531","non_herb_large->non_herb_small",213.011116342297,38,41
"13532","non_herb_large->non_herb_small",213.101991248051,38,42
"13533","non_herb_large->herb_large",213.137912349852,38,15
"13534","herb_small->non_herb_small",213.150327192089,38,66
"13535","non_herb_large->non_herb_small",213.203408271329,38,43
"13536","herb_large->herb_small",213.219907098283,38,10
"13537","herb_small->herb_large",213.227344753075,38,13
"13538","non_herb_large->non_herb_small",213.259787944688,38,44
"13539","non_herb_large->non_herb_small",213.285628169323,38,45
"13540","non_herb_small->herb_small",213.368340700417,38,58
"13541","non_herb_small->herb_small",213.385161332477,38,59
"13542","herb_small->non_herb_small",213.399418632821,38,67
"13543","non_herb_small->herb_small",213.486509854047,38,60
"13544","non_herb_large->non_herb_small",213.559663349312,38,46
"13545","non_herb_small->non_herb_large",213.647809306411,38,17
"13546","non_herb_small->herb_small",213.705318480657,38,61
"13547","non_herb_small->non_herb_large",213.745093120515,38,18
"13548","non_herb_small->herb_small",213.775052542812,38,62
"13549","non_herb_large->non_herb_small",213.867086328384,38,47
"13550","non_herb_small->herb_small",213.980850778932,38,63
