"Binomial.1.2","Condition_Met"
"Calomys_tocantinsi",0
"Calomys_venustus",0
"Calomyscus_bailwardi",0
"Calomyscus_baluchi",0
"Calomyscus_elburzensis",0
"Calomyscus_grandis",0
"Calomyscus_hotsoni",0
"Calomyscus_mystax",0
"Calomyscus_tsolovi",0
"Calomyscus_urartensis",0
"Caloprymnus_campestris",0
"Caluromys_derbianus",0
"Caluromys_lanatus",0
"Caluromys_philander",0
"Caluromysiops_irrupta",0
"Calyptophractus_retusus",0
"Camelops_hesternus",1
"Camelus_dromedarius",1
"Camelus_ferus",1
"Canariomys_bravoi",0
"Canariomys_tamarani",0
"Candiacervus_cretensis",1
"Candiacervus_dorothensis",1
"Candiacervus_major",1
"Candiacervus_rethymnensis",1
"Candiacervus_ropalophorus",1
"Candiacervus_spII",1
"Canis_adustus",0
"Canis_aureus",0
"Canis_dirus",0
"Canis_latrans",0
"Canis_lupus",0
"Canis_mesomelas",0
"Canis_rufus",0
"Canis_simensis",0
"Cannomys_badius",0
"Cansumys_canus",0
"Capra_aegagrus",1
"Capra_caucasica",1
"Capra_cylindricornis",1
"Capra_falconeri",1
"Capra_ibex",1
"Capra_nubiana",1
"Capra_pyrenaica",1
"Capra_sibirica",1
"Capra_walie",1
"Capreolus_capreolus",1
"Capreolus_miyakoensis",1
"Capreolus_pygargus",1
"Capricornis_crispus",1
"Capricornis_milneedwardsii",1
"Capricornis_rubidus",1
"Capricornis_sumatraensis",1
"Capricornis_swinhoei",1
"Capricornis_thar",1
"CapriniGen_spA",1
"Caprolagus_hispidus",0
"Capromeryx_minor",1
"Capromys_garridoi",0
"Capromys_pilorides",0
"Caracal_aurata",0
"Caracal_caracal",0
"Cardiocranius_paradoxus",0
"Carpitalpa_arendsi",0
"Carpomys_melanurus",0
"Carpomys_phaeurus",0
"Carterodon_sulcidens",0
"Caryomys_eva",0
"Caryomys_inez",0
"Castor_canadensis",1
"Castor_fiber",1
"Castoroides_ohioensis",1
"Catagonus_stenocephalus",1
"Catagonus_wagneri",1
"Catonyx_cuvieri",1
"Catopuma_badia",0
"Catopuma_temminckii",0
"Cavia_aperea",0
"Cavia_fulgida",0
"Cavia_intermedia",0
"Cavia_magna",0
"Cavia_patzelti",0
"Cavia_tschudii",0
"Cebuella_pygmaea",0
"Cebus_aequatorialis",0
"Cebus_albifrons",0
"Cebus_brunneus",0
"Cebus_capucinus",0
"Cebus_cesarae",0
"Cebus_cuscinus",0
"Cebus_kaapori",0
"Cebus_malitiosus",0
"Cebus_versicolor",0
"Cephalophus_adersi",0
"Cephalophus_callipygus",0
"Cephalophus_dorsalis",0
"Cephalophus_harveyi",1
"Cephalophus_jentinki",0
"Cephalophus_leucogaster",0
"Cephalophus_natalensis",0
"Cephalophus_niger",0
"Cephalophus_nigrifrons",0
"Cephalophus_ogilbyi",0
"Cephalophus_rufilatus",0
"Cephalophus_silvicultor",0
"Cephalophus_spadix",0
"Cephalophus_weynsi",0
"Cephalophus_zebra",0
"Ceratotherium_simum",1
"Cercartetus_caudatus",0
"Cercartetus_concinnus",0
"Cercartetus_lepidus",0
"Cercartetus_nanus",0
"Cercocebus_agilis",0
"Cercocebus_atys",0
"Cercocebus_chrysogaster",0
"Cercocebus_galeritus",0
"Cercocebus_lunulatus",0
"Cercocebus_sanjei",0
"Cercocebus_torquatus",0
"Cercopithecus_ascanius",0
"Cercopithecus_campbelli",0
"Cercopithecus_cephus",0
"Cercopithecus_denti",0
"Cercopithecus_diana",0
"Cercopithecus_dryas",0
"Cercopithecus_erythrogaster",0
"Cercopithecus_erythrotis",0
"Cercopithecus_hamlyni",0
"Cercopithecus_lowei",0
"Cercopithecus_mitis",0
"Cercopithecus_mona",0
"Cercopithecus_neglectus",0
"Cercopithecus_nictitans",0
"Cercopithecus_petaurista",0
"Cercopithecus_roloway",0
"Cercopithecus_sclateri",0
"Cerdocyon_thous",0
"Cerradomys_andersoni",0
"Cerradomys_maracajuensis",0
"Cerradomys_marinhus",0
"Cerradomys_scotti",0
"Cerradomys_subflavus",0
"Cervalces_scotti",1
"Cervus_albirostris",1
"Cervus_astylodon",1
"Cervus_canadensis",1
"Cervus_elaphus",1
"Cervus_nippon",1
"Chacodelphys_formosa",0
"Chaeropus_ecaudatus",0
"Chaetocauda_sichuanensis",0
"Chaetodipus_arenarius",0
