"","Taxon","Maximum.vertical.height..meter.","Habit..growth.from.","Extra.floral.nectaries","Leaf.shape","Whole.leaf.length..cm.","Whole.leaf.width..cm.","Rachis.length..mm.","Petiole.length..mm.","Stipules.length..mm.","Stipules.width..mm.","Stipules.phenology","Pairs.of.pinnae","Length.of.pinnae..mm.","Pinnular.rachis.length..cm.","Pair.of.leaflets","Length.of..leaflets..mm.","Width.of..leaflets..mm.","Length.of.basal.primary.leaflets..mm.","Length.of.basal.primary.leaflets..mm..1","Length.of.middle.leaflet..mm.","Width.of.middle.leaflet..mm.","Length.of.largest.leaflet..mm.","Width.of.largest.leaflet..mm.","Length.of.other.primary.leaflets..mm.","Phyllodes","Width.of.other.primary.leaflets..mm.","Phyllode.length..mm.","Phyllode.width..mm.","Fruit.length..cm.","Fruit.width..mm.","Fruit.color","Pod.shape","Pod.margin","Texture.of.pod.valves","Pod.cross.section","Pod.coil","Number.of.coils","Pod.ornamentation","Number.of.pods.per.capitulum","Dehiscence","Type.of.dehiscence","Dispersal.syndrome","Seed.length..cm.","Seed.width..cm.","Seed.accessories","Seed.color","Number.of.seeds.per.fruit","Presence.of.aril","Aril..color.","Presence.of.pulp","Color.pulp","Succulence","Length.of.extrafloral.nectaries..mm.","Width.of.extrafloral.nectaries..mm.","Diameter.of.extra.floral.nectaries..mm.","Presence.of.succulence","Nodulation","Presence.of.tendrils","Habitat.description","Fruit.type","Fruit.shape","Number.of.primary.leaflets","Stipe.length..mm.","Color.contrast","Number.of.fruits.per.inflorescence","Color.of.elaiosome","Presence.of.elaiosome","Seed.diameter..cm.","Fruit.thickness..mm.","Fruit.diameter.mm.","leaf.length.min","leaf.length.max","leaf.length.mean","rachis.length.min","rachis.length.max","rachis.length.mean","pinnae.pair.min","Vertical.height.mean","pinnae.pair.mean","pinnae.length.min","pinnae.length.max","pinnae.length.mean","leaflet.pair.min","leaflet.pair.max","leaflet.pair.mean","leaflet.length.min","leaflet.length.max","leaflet.length.mean","leaflet.width.min","leaflet.width.max","leaflet.width.mean","fruit.length.min","fruit.length.max","fruit.length.mean","fruit.width.min","fruit.width.max","fruit.width.mean","seed.length.min","seed.length.max","seed.length.mean","vertical.height.min","vertical.height.max","vertival.height.mean","Armatures"
"129","Acacia benthamii","1.0",1,0,NA,"","","","","1.50-2.00","",0,"","","","","","","","","","","","","",0,"","20.00-45.00","2.00-4.00","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","","",NA,"",NA,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0
"130","Acacia besleyi","1.0-3.0",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","40.00-85.00","2.00-3.00","1.0-3.0","3.50-5.00",1,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"0.3-0.4","","",NA,"",1,2,"","",NA,"","","","#Name?",0,"#Name?",0,"(4)","(5)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,3.5,5,4.25,0.3,0.4,0.35,1,3,2,0
"131","Acacia betchei","",NA,NA,NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","","","",NA,6,3,25,NA,1,"",3,"",NA,NA,NA,"","","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"132","Acacia bidentata","0.5-1.0",1,NA,NA,"","","","","1.00","",0,"","","","","","","","","","","","","",0,"","4.00-7.00","2.50-5.00","1.5","3.00-4.00",NA,1,NA,5,NA,0,"1.0-1.5",3,"",NA,NA,NA,"0.3-0.4","","",NA,"",1,NA,"","",NA,"","","","#Name?",NA,"#Name?",0,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,1.5,1.5,3,4,3.5,0.3,0.4,0.35,0.5,1,0.75,0
"133","Acacia bifaria","0.5",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","10.00-35.00","4.00-10.00","2.0","2.00-3.00",6,1,NA,5,0,0,"0-2.0",3,"",NA,NA,NA,"0.3","","",NA,"",1,NA,"","",NA,"","","","#Name?",NA,"#Name?",0,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,3,2.5,0.3,0.3,0.3,0.5,0.5,0.5,0
"134","Acacia biflora","0.3-0.6",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","3.00-7.00","3.00-8.00","5.5","4.00-5.00",3,1,2,25,NA,1,"",3,"",NA,NA,NA,"0.3-0.4","","",3,"",1,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"(0)","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,5.5,5.5,4,5,4.5,0.3,0.4,0.35,0.3,0.6,0.45,0
"135","Acacia binata","0.3-0.8",1,NA,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","8.00-17.00","1.00-1.50","3.5","3.00-3.50",6,1,1,5,NA,0,"1.5",NA,"",NA,NA,NA,"0.3","","",3,"",1,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","(5)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,3.5,3.5,3,3.5,3.25,0.3,0.3,0.3,0.3,0.8,0.55,0
"136","Acacia binervata","3.0-10.0",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","60.00-160.00","10.00-30.00","14.0","8.00-15.00",3,6,NA,25,NA,1,"",3,"",1,5,NA,"0.5","","",0,"",1,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"(0)","(6)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,14,14,8,15,11.5,0.5,0.5,0.5,3,10,6.5,0
"137","Acacia binervia","15.0",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","45.00-140.00","7.00-23.00","3.0-7.0","",NA,6,NA,3,NA,1,"",2,"",NA,NA,NA,"0.4-0.5","","",0,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",0,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,5,NA,NA,NA,0.4,0.5,0.45,15,15,15,0
"138","Acacia bivenosa","1.0-3.0",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","20.00-50.00","6.00-25.00","8.0","5.00-8.00",3,6,4,5,NA,1,"",NA,"",1,NA,NA,"0.4-0.6","","",3,"",1,1,"","",NA,"","","","#Name?",0,"#Name?",0,"(0)","(4)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,8,5,8,6.5,0.4,0.6,0.5,1,3,2,0
"139","Acacia blakei","15.0",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","50.00-170.00","7.00-22.00","3.0-10.0","2.00-4.00",NA,26,4,NA,NA,1,"",3,"",NA,NA,NA,"0.3-0.5","","",0,"",NA,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","(4)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,10,6.5,2,4,3,0.3,0.5,0.4,15,15,15,0
"140","Acacia blakei Pedley subsp. diphylla","",NA,NA,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","35.00","","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",0,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"141","Acacia blakelyi","1.0-3.0",1,0,NA,"","","","","","",0,"","","","","","","","","","","","","",0,"","70.00-150.00","2.00-15.00","16.0","4.00-5.00",NA,26,4,25,NA,1,"",3,"",NA,NA,NA,"0.6-0.7","","",0,"",1,2,"","",NA,"","","","#Name?",0,"#Name?",0,"","(4)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,16,16,4,5,4.5,0.6,0.7,0.65,1,3,2,0
"142","Acacia blaxellii","0.3-1.2",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","10.00-20.00","3.00-5.00","2.0","3.50-4.00",NA,1,NA,2,NA,0,"",3,"",NA,NA,NA,"0.2","","",0,"",1,2,"","",NA,"","","","#Name?",0,"#Name?",0,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,3.5,4,3.75,0.2,0.2,0.2,0.3,1.2,0.75,0
"143","Acacia blayana","25.0",0,0,NA,"","","10.00-60.00","13.00-55.00","","",NA,"2.0-4.0","40.00-95.00","","6.0-14.0","10.00-34.00","1.50-4.00","","","","","","","",NA,"","","","4.0-11.5","7.00-11.00",3,2,NA,2,NA,NA,"",3,"",NA,NA,NA,"","","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",0,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,10,60,35,2,4,3,40,95,67.5,6,14,10,10,34,22,1.5,4,2.75,4,11.5,7.75,7,11,9,NA,NA,NA,25,25,25,0
"144","Acacia boormanii","4.0",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","30.00-65.00","1.00-5.00","9.0","4.00-6.50",NA,6,NA,0,NA,1,"",3,"",1,5,NA,"0.5","","",0,"",1,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,9,4,6.5,5.25,0.5,0.5,0.5,4,4,4,0
"145","Acacia botrydion","0.5-1.3",1,NA,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","9.00-15.00","4.00-12.00","4.0","4.00",3,1,NA,0,NA,0,"",3,"",NA,NA,NA,"0.3-0.4","","",3,"",1,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","(5)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,0.3,0.4,0.35,0.5,1.3,0.9,0
"146","Acacia brachybotrya","1.0-3.0",1,NA,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","10.00-30.00","5.00-12.00","9.0","5.00-8.00",3,0,1,2,NA,1,"",23,"",NA,NA,NA,"0.4-0.6","","",0,"",1,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"(4)","(4)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,9,5,8,6.5,0.4,0.6,0.5,1,3,2,0
"147","Acacia brachyclada","0.2-0.5",1,NA,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","2.00-7.00","2.00-4.00","","2.50-4.50",NA,1,4,0,NA,0,"",3,"",NA,NA,NA,"0.3-0.4","","",NA,"",1,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","(4)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,4.5,3.5,0.3,0.4,0.35,0.2,0.5,0.35,0
"148","Acacia brachyphylla","0.2-0.3",1,0,NA,"","","","","1.50","",2,"","","","","","","","","","","","","",0,"","3.00-12.00","1.00","5.0","1.50-4.50",NA,6,1,2,NA,1,"",23,"",NA,NA,NA,"0.2-0.3","","",3,"",1,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"(4)","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,1.5,4.5,3,0.2,0.3,0.25,0.2,0.3,0.25,0
"149","Acacia brachypoda","2.0",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","20.00-50.00","0.70-1.40","","7.00-8.00",3,1,0,25,NA,0,"",3,"",NA,NA,NA,"0.4","","",NA,"",1,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,8,7.5,0.4,0.4,0.4,2,2,2,0
"150","Acacia brachystachya","5.0",1,NA,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","40.00-110.00","1.00-3.00","7.5","4.00-8.00",3,0,NA,NA,0,1,"",2,"",1,7,NA,"0.5-0.8","0.30-0.50","",3,"",1,2,"","",NA,"","","","#Name?",0,"#Name?",0,"","(1)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,7.5,7.5,4,8,6,0.5,0.8,0.65,5,5,5,0
"151","Acacia bracteolata","0.6",1,0,NA,"","","","","3.00-4.00","",NA,"","","","","","","","","","","","","",0,"","15.00-25.00","5.00-10.00","6.0","5.00-7.00",NA,1,3,0,NA,1,"",2,"",NA,NA,NA,"0.4","","",0,"",1,4,"","",NA,"","","","#Name?",0,"#Name?",0,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,5,7,6,0.4,0.4,0.4,0.6,0.6,0.6,0
"152","Acacia brassii","10.0",0,NA,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","110.00-190.00","15.00-30.00","4.0-13.0","",NA,6,4,25,0,1,"",23,"",NA,NA,NA,"0.3-0.4","","",3,"",NA,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","(4)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,13,8.5,NA,NA,NA,0.3,0.4,0.35,10,10,10,0
"153","Acacia brockii","5.0",0,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","110.00-256.00","1.40-2.80","8.0-12.0","4.50-6.00",3,6,0,0,NA,1,"",3,"",NA,NA,NA,"","","",3,"",NA,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,12,10,4.5,6,5.25,NA,NA,NA,5,5,5,0
"154","Acacia bromilowiana","2.0-5.0",1,NA,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","100.00-140.00","20.00-40.00","2.0-7.0","7.00-10.00",1,0,NA,0,NA,1,"",3,"",NA,NA,NA,"0.4","","",3,"",1,2,"","",NA,"","","","#Name?",0,"#Name?",0,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,4.5,7,10,8.5,0.4,0.4,0.4,2,5,3.5,0
"155","Acacia browniana","0.3-2.0",1,0,NA,"","","1.00-10.00","","","",NA,"2.0","1.00-4.00","","","","","","","","","","","",NA,"","","","1.0-4.5","5.00-9.00",NA,0,NA,5,NA,1,"",23,"",NA,NA,NA,"0.3-0.4","","",NA,"",NA,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,1,10,5.5,2,2,2,1,4,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4.5,2.75,5,9,7,0.3,0.4,0.35,0.3,2,1.15,0
"156","Acacia brownii","1.0",NA,NA,NA,"","","","","1.00","",0,"","","","","","","","","","","","","",0,"","8.00-25.00","","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",0,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0
"157","Acacia brumalis","2.0-3.0",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","50.00-90.00","5.00-10.00","10.0","5.00-6.00",3,6,3,25,NA,1,"",3,"",1,NA,NA,"0.4-0.5","","",0,"",1,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,10,5,6,5.5,0.4,0.5,0.45,2,3,2.5,0
"158","Acacia brunioides","2.0",1,NA,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","2.50-12.00","0.40-1.00","5.0","7.00-15.00",6,0,NA,0,NA,1,"",3,"",NA,NA,NA,"0.4","","",7,"",1,2,"","",NA,"","","","#Name?",0,"#Name?",0,"","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,7,15,11,0.4,0.4,0.4,2,2,2,0
"159","Acacia bulgaensis","1.5-8.0",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","35.00-100.00","7.00-15.00","2.0-9.5","3.00-5.00",NA,6,4,2,NA,1,"",3,"",NA,NA,NA,"0.4-0.5","","",3,"",NA,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,9.5,5.75,3,5,4,0.4,0.5,0.45,1.5,8,4.75,0
"160","Acacia burbidgeae","2.0",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","20.00-45.00","0.50-1.00","6.5","3.00-4.00",3,6,NA,0,NA,1,"",3,"",NA,NA,NA,"0.4","","",NA,"",1,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,6.5,6.5,3,4,3.5,0.4,0.4,0.4,2,2,2,0
"161","Acacia burdekensis","2.0-9.0",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","90.00-150.00","7.00-15.00","","3.00-4.00",3,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","","",NA,"",NA,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","(4)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3.5,NA,NA,NA,2,9,5.5,0
"162","Acacia burkittii","1.5-5.0",1,NA,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","60.00-160.00","0.70-1.50","4.0-8.0","4.00-5.00",NA,6,4,25,NA,1,"",3,"",NA,NA,NA,"0.4-0.5","0.30-0.45","",NA,"",1,2,"","",NA,"","","","#Name?",0,"#Name?",0,"","(4)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8,6,4,5,4.5,0.4,0.5,0.45,1.5,5,3.25,0
"163","Acacia burrana","1.0-5.0",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","40.00-80.00","4.00-9.00","9.0","5.00-6.00",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"0.3-0.4","","",0,"",1,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","(4)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,9,5,6,5.5,0.3,0.4,0.35,1,5,3,0
"164","Acacia burrowii","13.0",0,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","30.00-110.00","4.00-10.00","4.0-11.0","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"0.3-0.5","","",3,"",NA,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,11,7.5,NA,NA,NA,0.3,0.5,0.4,13,13,13,0
"165","Acacia burrowsiana","2.0-5.0",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","70.00-130.00","3.00-5.00","6.0-8.0","5.00-7.00",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"0.6-0.7","","",3,"",1,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","(4)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,8,7,5,7,6,0.6,0.7,0.65,2,5,3.5,0
"166","Acacia buxifolia","4.0",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","10.00-45.00","2.00-9.00","7.0","5.00-8.00",2,16,NA,0,NA,1,"",3,"",NA,NA,NA,"0.4-0.5","","",0,"",1,2,"","",NA,"","","","#Name?",NA,"#Name?",0,"(0)","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,5,8,6.5,0.4,0.5,0.45,4,4,4,0
"167","Acacia bynoeana","0.3",1,NA,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","10.00-50.00","1.00-3.00","3.0","3.00",NA,0,1,5,0,1,"",2,"",NA,NA,NA,"0.4-0.5","","",3,"",1,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","(2)","","","","","#Name?","#Name?","","","3.00-4.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,0.4,0.5,0.45,0.3,0.3,0.3,0
"168","Acacia caerulescens","10.0-15.0",0,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","40.00-80.00","15.00-30.00","5.0-12.0","14.00-22.00",3,6,3,0,NA,NA,"",3,"",NA,NA,NA,"0.5-0.6","","",0,"",NA,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"(0)","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,12,8.5,14,22,18,0.5,0.6,0.55,10,15,12.5,0
"169","Acacia caesaneura","3.0-8.0",1,NA,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","30.00-70.00","2.50-10.00","1.5-3.5","10.00-15.00",3,0,NA,0,NA,1,"",0,"",NA,NA,NA,"0.4-0.6","0.20-0.30","",NA,"",1,2,"","",NA,"","","","#Name?",0,"#Name?",0,"(2)","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,3.5,2.5,10,15,12.5,0.4,0.6,0.5,3,8,5.5,0
"170","Acacia caesariata","0.6-1.3",1,0,NA,"","","","","1.50-4.00","",2,"","","","","","","","","","","","","",0,"","20.00-45.00","2.00-8.00","2.5","2.00-3.00",4,1,NA,0,NA,0,"",2,"",NA,NA,NA,"0.3","","",0,"",1,2,"","",NA,"","","","#Name?",0,"#Name?",0,"(4)","(5)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2.5,2.5,2,3,2.5,0.3,0.3,0.3,0.6,1.3,0.95,0
"171","Acacia caesiella","1.5-4.0",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","40.00-100.00","3.00-6.00","8.0","7.00-10.00",6,6,NA,0,NA,1,"",3,"",1,5,NA,"0.5-0.6","","",0,"",1,2,"","",NA,"","","","#Name?",0,"#Name?",0,"(0)","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,8,7,10,8.5,0.5,0.6,0.55,1.5,4,2.75,0
"172","Acacia calamifolia","2.0-4.0",1,NA,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","25.00-95.00","1.00-1.50","15.0","3.00-6.00",2,6,4,25,NA,1,"",3,"",NA,NA,NA,"0.6-0.9","","",3,"",1,1,"","",NA,"","","","#Name?",0,"#Name?",0,"","(4)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,15,3,6,4.5,0.6,0.9,0.75,2,4,3,0
"173","Acacia calantha","1.0-3.0",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","70.00-150.00","1.00","6.0","5.00-6.00",NA,0,3,2,NA,1,"",3,"",NA,NA,NA,"0.3-0.4","","",3,"",1,4,"","",NA,"","","","#Name?",0,"#Name?",0,"","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,5,6,5.5,0.3,0.4,0.35,1,3,2,0
"174","Acacia calcarata","0.5-1.5",1,0,NA,"","","","","1.50-3.00","",2,"","","","","","","","","","","","","",0,"","20.00-40.00","1.50","7.0","1.00",6,0,NA,5,NA,1,"",3,"",NA,NA,NA,"0.1","","",NA,"",NA,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,1,1,1,0.1,0.1,0.1,0.5,1.5,1,1
